Time,Latitude,Longitude,Unit,Operator,Technology,Send Duration,Delivery Duration,Start Time,Receive Time,Transmission Status,Delivery Status,Delivery Notification,Action Type,File Size,Job Name,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 16:18:18.399000-05:00,41.698826,-86.233389,QualiPoc_361786,AT&T,LTE,3.586,3.593,2025-11-22 16:18:14.081,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:18:32.266000-05:00,41.698189,-86.232993,QualiPoc_396840,Verizon,LTE,0.33,0.404,2025-11-22 16:18:31.150,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:18:43.623000-05:00,41.698838,-86.233377,QualiPoc_361786,AT&T,LTE,16.908,16.915,2025-11-22 16:18:25.826,,Successful,Successful,Enabled,Send Picture,999045.0,WhatsApp Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:18:44.897000-05:00,41.698176,-86.232986,QualiPoc_396840,Verizon,LTE,4.258,4.396,2025-11-22 16:18:39.578,,Successful,Successful,Enabled,Send Picture,999054.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:20:22.893000-05:00,41.698212,-86.232989,QualiPoc_396840,Verizon,LTE,0.55,0.556,2025-11-22 16:20:21.609,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
2025-11-22 16:20:33.064000-05:00,41.698188,-86.232982,QualiPoc_396840,Verizon,LTE,1.886,1.999,2025-11-22 16:20:30.385,,Successful,Successful,Enabled,Send Picture,999262.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6295.0,Concourse
2025-11-22 16:21:03.942000-05:00,41.69883,-86.233382,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:20:34.908,,Failed,Failed,Enabled,Send Text,,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:21:39.742000-05:00,41.698832,-86.233377,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:21:11.236,,Failed,Failed,Enabled,Send Picture,999496.0,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:22:14.124000-05:00,41.697958,-86.234546,QualiPoc_619529,T-Mobile,5G NR,0.356,0.499,2025-11-22 16:22:13.284,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:22:23.931000-05:00,41.697958,-86.234546,QualiPoc_619529,T-Mobile,5G NR,2.86,2.864,2025-11-22 16:22:20.778,,Successful,Successful,Enabled,Send Picture,999040.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:23:15.494000-05:00,41.698857,-86.233008,QualiPoc_396840,Verizon,LTE,0.3,0.303,2025-11-22 16:23:14.539,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6055.0,Concourse
2025-11-22 16:23:24.775000-05:00,41.698839,-86.233055,QualiPoc_396840,Verizon,LTE,1.375,1.383,2025-11-22 16:23:22.859,,Successful,Successful,Enabled,Send Picture,999081.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6055.0,Concourse
2025-11-22 16:24:22.195000-05:00,41.697953,-86.234529,QualiPoc_619529,T-Mobile,5G NR,0.212,0.311,2025-11-22 16:24:21.569,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:24:30.736000-05:00,41.697952,-86.23453,QualiPoc_619529,T-Mobile,5G NR,1.276,1.484,2025-11-22 16:24:28.895,,Successful,Successful,Enabled,Send Picture,999051.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:26:19.039000-05:00,41.698881,-86.232894,QualiPoc_396840,Verizon,LTE,10.33,10.525,2025-11-22 16:26:07.737,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:26:42.305000-05:00,41.698844,-86.233094,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:26:12.900,,Failed,Failed,Enabled,Send Text,,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:26:53.805000-05:00,41.698864,-86.232977,QualiPoc_396840,Verizon,LTE,26.821,26.874,2025-11-22 16:26:26.087,,Successful,Successful,Enabled,Send Picture,999097.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:27:18.196000-05:00,41.698838,-86.233095,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:26:49.820,,Failed,Failed,Enabled,Send Picture,999160.0,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:27:24.304000-05:00,41.697955,-86.234691,QualiPoc_619529,T-Mobile,5G NR,0.496,0.61,2025-11-22 16:27:23.414,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:27:36.048000-05:00,41.697954,-86.234697,QualiPoc_619529,T-Mobile,5G NR,4.434,4.438,2025-11-22 16:27:31.159,,Successful,Successful,Enabled,Send Picture,999483.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:29:25.924000-05:00,41.697936,-86.234693,QualiPoc_619529,T-Mobile,5G NR,0.296,0.48,2025-11-22 16:29:25.135,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6775.0,Bowl
2025-11-22 16:29:34.012000-05:00,41.697936,-86.234693,QualiPoc_619529,T-Mobile,5G NR,1.087,1.09,2025-11-22 16:29:32.641,,Successful,Successful,Enabled,Send Picture,998926.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6775.0,Bowl
2025-11-22 16:30:22.637000-05:00,41.698847,-86.233132,QualiPoc_361786,AT&T,LTE,0.521,0.969,2025-11-22 16:30:21.088,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6775.0,Bowl
2025-11-22 16:30:26.440000-05:00,41.698065,-86.232732,QualiPoc_396840,Verizon,LTE,0.403,0.541,2025-11-22 16:30:25.103,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:30:42.752000-05:00,41.698838,-86.2331,QualiPoc_361786,AT&T,LTE,11.922,11.938,2025-11-22 16:30:29.932,,Successful,Successful,Enabled,Send Picture,999026.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6775.0,Bowl
2025-11-22 16:30:43.891000-05:00,41.698058,-86.232726,QualiPoc_396840,Verizon,LTE,9.37,9.431,2025-11-22 16:30:33.678,,Successful,Successful,Enabled,Send Picture,999143.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:32:30.240000-05:00,41.698076,-86.232704,QualiPoc_396840,Verizon,LTE,0.692,0.706,2025-11-22 16:32:28.796,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6775.0,Concourse
2025-11-22 16:32:40.216000-05:00,41.698076,-86.232704,QualiPoc_396840,Verizon,LTE,2.082,2.09,2025-11-22 16:32:37.378,,Successful,Successful,Enabled,Send Picture,999190.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6775.0,Concourse
2025-11-22 16:35:21.839000-05:00,41.697555,-86.233452,QualiPoc_396840,Verizon,LTE,0.49,0.495,2025-11-22 16:35:20.533,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6215.0,Concourse
2025-11-22 16:35:22.614000-05:00,41.698215,-86.234479,QualiPoc_619529,T-Mobile,5G NR,21.35,21.443,2025-11-22 16:35:00.862,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,LTE,,Bowl
2025-11-22 16:35:31.759000-05:00,41.697554,-86.233452,QualiPoc_396840,Verizon,LTE,1.535,1.724,2025-11-22 16:35:29.236,,Successful,Successful,Enabled,Send Picture,999289.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6215.0,Concourse
2025-11-22 16:35:32.031000-05:00,41.698221,-86.234474,QualiPoc_619529,T-Mobile,5G NR,2.371,2.485,2025-11-22 16:35:29.247,,Successful,Successful,Enabled,Send Picture,999054.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:35:54.232000-05:00,41.697946,-86.233388,QualiPoc_361786,AT&T,LTE,0.428,0.559,2025-11-22 16:35:52.879,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:36:07.167000-05:00,41.697943,-86.233382,QualiPoc_361786,AT&T,LTE,4.641,4.767,2025-11-22 16:36:01.690,,Successful,Successful,Enabled,Send Picture,999282.0,WhatsApp Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:36:59.507000-05:00,41.697543,-86.233467,QualiPoc_396840,Verizon,LTE,0.291,0.393,2025-11-22 16:36:58.222,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:37:09.657000-05:00,41.697512,-86.23341,QualiPoc_396840,Verizon,LTE,2.057,2.11,2025-11-22 16:37:07.028,,Successful,Successful,Enabled,Send Picture,999207.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:37:17.295000-05:00,41.698218,-86.23448,QualiPoc_619529,T-Mobile,5G NR,0.227,0.276,2025-11-22 16:37:16.730,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:37:25.227000-05:00,41.698221,-86.234481,QualiPoc_619529,T-Mobile,5G NR,0.938,1.039,2025-11-22 16:37:23.909,,Successful,Successful,Enabled,Send Picture,999522.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:39:25.129000-05:00,41.697582,-86.234466,QualiPoc_396840,Verizon,LTE,0.226,0.316,2025-11-22 16:39:24.188,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:39:35.559000-05:00,41.697582,-86.234468,QualiPoc_396840,Verizon,LTE,2.009,2.093,2025-11-22 16:39:32.605,,Successful,Successful,Enabled,Send Picture,999191.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:40:03.811000-05:00,41.697951,-86.233353,QualiPoc_361786,AT&T,LTE,0.531,0.694,2025-11-22 16:40:02.283,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6135.0,Bowl
2025-11-22 16:40:20.185000-05:00,41.698218,-86.234671,QualiPoc_619529,T-Mobile,5G NR,0.3,0.411,2025-11-22 16:40:19.492,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:40:28.557000-05:00,41.698219,-86.234666,QualiPoc_619529,T-Mobile,5G NR,1.121,1.284,2025-11-22 16:40:26.917,,Successful,Successful,Enabled,Send Picture,998871.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:40:29.274000-05:00,41.697936,-86.233375,QualiPoc_361786,AT&T,LTE,16.813,17.098,2025-11-22 16:40:11.305,,Successful,Successful,Enabled,Send Picture,999015.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6135.0,Bowl
2025-11-22 16:41:43.116000-05:00,41.697489,-86.234562,QualiPoc_396840,Verizon,LTE,0.333,0.443,2025-11-22 16:41:41.881,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6615.0,Concourse
2025-11-22 16:41:52.711000-05:00,41.697485,-86.234572,QualiPoc_396840,Verizon,LTE,1.5,1.512,2025-11-22 16:41:50.544,,Successful,Successful,Enabled,Send Picture,999377.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6615.0,Concourse
2025-11-22 16:42:50.272000-05:00,41.698214,-86.234649,QualiPoc_619529,T-Mobile,5G NR,0.444,0.557,2025-11-22 16:42:49.433,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6055.0,Bowl
2025-11-22 16:43:03.084000-05:00,41.698219,-86.23465,QualiPoc_619529,T-Mobile,5G NR,5.788,5.901,2025-11-22 16:42:56.779,,Successful,Successful,Enabled,Send Picture,999192.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6055.0,Bowl
2025-11-22 16:44:24.394000-05:00,41.69809,-86.234881,QualiPoc_396840,Verizon,LTE,0.366,0.377,2025-11-22 16:44:23.268,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6855.0,Concourse
2025-11-22 16:44:34.011000-05:00,41.698068,-86.234889,QualiPoc_396840,Verizon,LTE,1.719,1.724,2025-11-22 16:44:31.733,,Successful,Successful,Enabled,Send Picture,999193.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6855.0,Concourse
2025-11-22 16:46:24.918000-05:00,41.698025,-86.234874,QualiPoc_396840,Verizon,LTE,0.261,0.458,2025-11-22 16:46:23.717,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:46:38.489000-05:00,41.697983,-86.234883,QualiPoc_396840,Verizon,LTE,5.198,5.328,2025-11-22 16:46:32.297,,Successful,Successful,Enabled,Send Picture,998908.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:47:07.059000-05:00,41.697947,-86.233109,QualiPoc_361786,AT&T,LTE,0.442,0.568,2025-11-22 16:47:05.556,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:47:43.062000-05:00,41.697944,-86.233094,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:47:14.338,,Failed,Failed,Enabled,Send Picture,999118.0,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 16:48:23.998000-05:00,41.698713,-86.234616,QualiPoc_619529,T-Mobile,LTE,2.234,2.442,2025-11-22 16:48:21.217,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:48:42.512000-05:00,41.698709,-86.234615,QualiPoc_619529,T-Mobile,LTE,11.241,11.419,2025-11-22 16:48:30.708,,Successful,Successful,Enabled,Send Picture,999135.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:50:11.269000-05:00,41.697966,-86.23312,QualiPoc_361786,AT&T,LTE,0.92,1.317,2025-11-22 16:50:09.150,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 16:50:21.158000-05:00,41.697962,-86.233125,QualiPoc_361786,AT&T,LTE,1.48,1.602,2025-11-22 16:50:18.683,,Successful,Successful,Enabled,Send Picture,999142.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 16:50:27.643000-05:00,41.698718,-86.234605,QualiPoc_619529,T-Mobile,LTE,0.267,0.361,2025-11-22 16:50:27.009,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:50:35.769000-05:00,41.698718,-86.234605,QualiPoc_619529,T-Mobile,LTE,1.205,1.44,2025-11-22 16:50:34.061,,Successful,Successful,Enabled,Send Picture,999126.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:51:11.337000-05:00,41.698936,-86.234917,QualiPoc_396840,Verizon,LTE,0.3,0.403,2025-11-22 16:51:10.167,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:51:25.883000-05:00,41.698889,-86.234902,QualiPoc_396840,Verizon,LTE,6.094,6.374,2025-11-22 16:51:18.947,,Successful,Successful,Enabled,Send Picture,999098.0,WhatsApp Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:52:52.869000-05:00,41.698911,-86.234847,QualiPoc_396840,Verizon,LTE,3.892,3.963,2025-11-22 16:52:48.339,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6695.0,Concourse
2025-11-22 16:53:02.826000-05:00,41.698895,-86.234885,QualiPoc_396840,Verizon,LTE,1.996,2.0,2025-11-22 16:53:00.131,,Successful,Successful,Enabled,Send Picture,999399.0,WhatsApp Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6695.0,Concourse
2025-11-22 16:54:47.091000-05:00,41.698717,-86.234521,QualiPoc_619529,T-Mobile,5G NR,0.373,0.492,2025-11-22 16:54:46.285,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:54:55.833000-05:00,41.698715,-86.234522,QualiPoc_619529,T-Mobile,5G NR,1.786,1.934,2025-11-22 16:54:53.624,,Successful,Successful,Enabled,Send Picture,999057.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:56:54.069000-05:00,41.698709,-86.234454,QualiPoc_619529,T-Mobile,5G NR,0.287,0.39,2025-11-22 16:56:53.382,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6615.0,Bowl
2025-11-22 16:57:04.539000-05:00,41.698714,-86.234456,QualiPoc_619529,T-Mobile,5G NR,3.692,3.725,2025-11-22 16:57:00.523,,Successful,Successful,Enabled,Send Picture,999400.0,WhatsApp Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6615.0,Bowl
2025-11-22 16:59:09.320000-05:00,41.698721,-86.234488,QualiPoc_396840,Verizon,LTE,0.454,0.458,2025-11-22 16:59:08.072,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6615.0,Bowl
2025-11-22 16:59:20.080000-05:00,41.698721,-86.234485,QualiPoc_396840,Verizon,LTE,2.518,2.724,2025-11-22 16:59:16.594,,Successful,Successful,Enabled,Send Picture,998958.0,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6615.0,Bowl
2025-11-22 17:00:26.455000-05:00,41.697966,-86.234454,QualiPoc_361786,AT&T,LTE,,,2025-11-22 16:59:57.713,,Failed,Failed,Enabled,Send Text,,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 17:01:02.273000-05:00,41.697964,-86.234461,QualiPoc_361786,AT&T,LTE,,,2025-11-22 17:00:33.996,,Failed,Failed,Enabled,Send Picture,999143.0,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 17:04:00.301000-05:00,41.697967,-86.234453,QualiPoc_361786,AT&T,LTE,1.752,1.757,2025-11-22 17:03:57.631,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 17:04:10.328000-05:00,41.697963,-86.234453,QualiPoc_361786,AT&T,LTE,1.247,1.543,2025-11-22 17:04:07.791,,Successful,Successful,Enabled,Send Picture,999006.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 17:04:56.541000-05:00,41.698723,-86.234474,QualiPoc_396840,Verizon,LTE,,,2025-11-22 17:04:27.576,,Failed,Failed,Enabled,Send Text,,WhatsApp Send,Failed,Bowl,7c36e7df,Verizon,LTE,,Bowl
2025-11-22 17:05:32.454000-05:00,41.698735,-86.234582,QualiPoc_396840,Verizon,LTE,,,2025-11-22 17:05:03.727,,Failed,Failed,Enabled,Send Picture,998910.0,WhatsApp Send,Failed,Bowl,7c36e7df,Verizon,LTE,,Bowl
2025-11-22 17:09:57.714000-05:00,41.69795,-86.233377,QualiPoc_619529,T-Mobile,5G NR,0.554,0.693,2025-11-22 17:09:56.654,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:10:17.034000-05:00,41.69795,-86.233379,QualiPoc_619529,T-Mobile,5G NR,12.009,12.155,2025-11-22 17:10:04.463,,Successful,Successful,Enabled,Send Picture,998921.0,WhatsApp Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:10:44.671000-05:00,41.697948,-86.234753,QualiPoc_361786,AT&T,LTE,,,2025-11-22 17:10:15.454,,Failed,Failed,Enabled,Send Text,,WhatsApp Send,Failed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
